Id,Name,ParentCategoryId
db4f8bea-1607-4cd0-9e35-a6563d8c50f3,Chocolate & Sweets,a2f0ca2b-9b15-458c-8cf2-310f69eb5899
9accb935-1b31-4c78-9bff-10a2f3fdb10f,Chilled Vegetarian & Vegan,27dbcc1a-5d2b-4a40-9e24-50fbfce59aae
e29a2450-6898-49c4-8afe-c3062605da67,Chilled Juice & Smoothies,27dbcc1a-5d2b-4a40-9e24-50fbfce59aae
27cf7aeb-d92d-422d-8c5e-0e564c2741ba,Chilled Fish & Seafood,27dbcc1a-5d2b-4a40-9e24-50fbfce59aae
ce97303d-3c04-410d-9d86-6bfc4e94ecbe,Chilled Desserts,96607918-0fb6-406e-8198-292c5febc1fb
261e5dcd-548d-4b79-a531-5093a1438f3b,Chilled Desserts,27dbcc1a-5d2b-4a40-9e24-50fbfce59aae
e50a4953-da0e-4ff9-a249-c3cef14e7b74,Cheese,27dbcc1a-5d2b-4a40-9e24-50fbfce59aae
8f772b64-ef08-41ac-8576-6bc9143dd5f8,Cereals,96607918-0fb6-406e-8198-292c5febc1fb
20637ae8-0120-430c-b002-9d717ebfbf79,Cat Supplies,051f4a18-58ca-438b-8a3c-242c32f41748
b173b3b1-e794-4117-998e-e92494761065,"Cards, Gifts & Party",5999b5b0-6d49-4648-b6ef-eae2f512641d
061b31ff-efe7-4759-89e3-536565ce91e6,Canned Goods & Packets,96607918-0fb6-406e-8198-292c5febc1fb
4ff47b17-bc58-44b2-ae9b-053d2445d7e7,Cakes & Patisserie,4a4df996-2d61-424d-9af1-7fdfef76e63e
82cc38d5-2b1e-4f36-8414-d1880d894153,Cake Bars & Slices,a2f0ca2b-9b15-458c-8cf2-310f69eb5899
7a5069e5-d756-4c3a-9c18-0e5cc2c9bf1a,Breakfast Bakery,4a4df996-2d61-424d-9af1-7fdfef76e63e
08f5fe93-8a26-46ae-bb04-b300749ad272,Bread & Rolls,4a4df996-2d61-424d-9af1-7fdfef76e63e
e57bd335-e3d1-4e63-ba80-7f957947dbd8,"Biscuits, Crackers & Cereal Bars",a2f0ca2b-9b15-458c-8cf2-310f69eb5899
f164a866-7355-432d-b17c-16af26af770f,Bin Bags,37e98de1-ff36-4701-b43a-8e050f64a71b
993782f0-54c7-4161-830e-820f7e13349b,Beer & Cider,85ca5c67-e914-4edf-b7b4-02bd515ad729
6f73a67c-bea0-4dfd-8e63-7eaa206164fa,Bedding,5999b5b0-6d49-4648-b6ef-eae2f512641d
e7a066d7-dd8d-48b5-a9ac-a2509cf24727,Batteries,5999b5b0-6d49-4648-b6ef-eae2f512641d
528451a8-b3e7-4627-aeb2-ca46cfd64a57,Bathroom Accessories & Towels,5999b5b0-6d49-4648-b6ef-eae2f512641d
103ef7c5-aed1-44cb-a77e-e4dbcab58a56,"Bath, Shower & Body Care",c44bbe12-558d-4a90-97c0-ef08c01abe5f
923ea56f-e352-4a46-bd54-335e9167d36e,Baking Ingredients,96607918-0fb6-406e-8198-292c5febc1fb
875489ab-8daf-4319-8408-41a8004d744a,Baby Wipes & Changing,cfd69fdf-9c35-47e6-bf8b-fc99e0ab1e1a
73466ffe-00d7-4d45-9048-847e5df97677,Baby Toys & Accessories,cfd69fdf-9c35-47e6-bf8b-fc99e0ab1e1a
e8b1f05c-9bf0-4879-9167-2836599e4020,Baby Toiletries,cfd69fdf-9c35-47e6-bf8b-fc99e0ab1e1a
07e4d749-d36d-4e06-993e-93a07f8fb328,Baby Milk & Formula,cfd69fdf-9c35-47e6-bf8b-fc99e0ab1e1a
29a8f47a-8ba1-4804-b943-7361d4587bcb,Baby Laundry,cfd69fdf-9c35-47e6-bf8b-fc99e0ab1e1a
c09f2588-261c-4526-be64-1152cbf84d0b,Baby Healthcare,cfd69fdf-9c35-47e6-bf8b-fc99e0ab1e1a
04d1557c-b3b9-40c7-b600-0db3318185ec,Baby Food,cfd69fdf-9c35-47e6-bf8b-fc99e0ab1e1a
58d51a39-139f-46d2-b877-3f39fc4b07d5,Air Fresheners,37e98de1-ff36-4701-b43a-8e050f64a71b
