parent_category,subcategory_name,subcategory_url
Drinks,Alcohol Gift Sets,https://www.tesco.com/groceries/en-GB/shop/drinks/alcohol-gift-sets
Drinks,Ready To Drink Wine & Spirits,https://www.tesco.com/groceries/en-GB/shop/drinks/ready-to-drink-wine-and-spirits
Drinks,Finest Drinks,https://www.tesco.com/groceries/en-GB/shop/drinks/finest-drinks
Drinks,"Mugs, Glasses & Water Bottles",https://www.tesco.com/groceries/en-GB/shop/drinks/mugs-glasses-and-water-bottles
Baby & Toddler,Nappies & Pants,https://www.tesco.com/groceries/en-GB/shop/baby-and-toddler/nappies-and-pants
Baby & Toddler,Baby & Toddler Wipes,https://www.tesco.com/groceries/en-GB/shop/baby-and-toddler/baby-and-toddler-wipes
Baby & Toddler,Baby & Toddler Toiletries,https://www.tesco.com/groceries/en-GB/shop/baby-and-toddler/baby-and-toddler-toiletries
Baby & Toddler,"Baby, Toddler & Kids Healthcare",https://www.tesco.com/groceries/en-GB/shop/baby-and-toddler/baby-toddler-and-kids-healthcare
Baby & Toddler,Baby & Toddler Milk,https://www.tesco.com/groceries/en-GB/shop/baby-and-toddler/baby-and-toddler-milk
Baby & Toddler,Baby & Toddler Food,https://www.tesco.com/groceries/en-GB/shop/baby-and-toddler/baby-and-toddler-food
Baby & Toddler,Toilet Training,https://www.tesco.com/groceries/en-GB/shop/baby-and-toddler/toilet-training
Baby & Toddler,Mum to Be,https://www.tesco.com/groceries/en-GB/shop/baby-and-toddler/mum-to-be
Baby & Toddler,Breast Feeding Accessories,https://www.tesco.com/groceries/en-GB/shop/baby-and-toddler/breast-feeding-accessories
Baby & Toddler,Baby Bottles & Accessories,https://www.tesco.com/groceries/en-GB/shop/baby-and-toddler/baby-bottles-and-accessories
Baby & Toddler,Baby Weaning & Accessories,https://www.tesco.com/groceries/en-GB/shop/baby-and-toddler/baby-weaning-and-accessories
Baby & Toddler,Dummies & Teething,https://www.tesco.com/groceries/en-GB/shop/baby-and-toddler/dummies-and-teething
Baby & Toddler,Sterilising & Antibacterial,https://www.tesco.com/groceries/en-GB/shop/baby-and-toddler/sterilising-and-antibacterial
Baby & Toddler,Baby Laundry,https://www.tesco.com/groceries/en-GB/shop/baby-and-toddler/baby-laundry
Baby & Toddler,Toys & Nursery Accessories,https://www.tesco.com/groceries/en-GB/shop/baby-and-toddler/toys-and-nursery-accessories
Baby & Toddler,Nursery Furniture & Accessories,https://www.tesco.com/groceries/en-GB/shop/baby-and-toddler/nursery-furniture-and-accessories
Baby & Toddler,Pushchairs & Car Safety,https://www.tesco.com/groceries/en-GB/shop/baby-and-toddler/pushchairs-and-car-safety
Health & Beauty,Kid's Zone,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/kid's-zone
Health & Beauty,Shampoo,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/shampoo
Health & Beauty,Conditioner,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/conditioner
Health & Beauty,Haircare & Styling,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/haircare-and-styling
Health & Beauty,Hair Colourants & Dyes,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/hair-colourants-and-dyes
Health & Beauty,"Shower, Bath & Hand Hygiene",https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/shower-bath-and-hand-hygiene
Health & Beauty,Deodorants,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/deodorants
Health & Beauty,"Toothpaste, Mouthwash & Toothbrush",https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/toothpaste-mouthwash-and-toothbrush
Health & Beauty,Women's Toiletries,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/women's-toiletries
Health & Beauty,Menopause,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/menopause
Health & Beauty,Men's Toiletries,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/men's-toiletries
Health & Beauty,Face Skincare,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/face-skincare
Health & Beauty,Body Skincare,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/body-skincare
Health & Beauty,Suncare & Travel,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/suncare-and-travel
Health & Beauty,Makeup & Accessories,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/makeup-and-accessories
Health & Beauty,"Perfumes, Aftershaves & Gift Sets",https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/perfumes-aftershaves-and-gift-sets
Health & Beauty,"Vitamins, Minerals & Supplements",https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/vitamins-minerals-and-supplements
Health & Beauty,Medicine,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/medicine
Health & Beauty,Lifestyle & Wellbeing,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/lifestyle-and-wellbeing
Pets,Cat Food & Accessories,https://www.tesco.com/groceries/en-GB/shop/pets/cat-food-and-accessories
Pets,Dog Food & Accessories,https://www.tesco.com/groceries/en-GB/shop/pets/dog-food-and-accessories
Pets,"Small Animal, Fish & Bird",https://www.tesco.com/groceries/en-GB/shop/pets/small-animal-fish-and-bird
Pets,Pet Cleaning,https://www.tesco.com/groceries/en-GB/shop/pets/pet-cleaning
Pets,Large Animals,https://www.tesco.com/groceries/en-GB/shop/pets/large-animals
Household,Laundry,https://www.tesco.com/groceries/en-GB/shop/household/laundry
Household,Kitchen Roll,https://www.tesco.com/groceries/en-GB/shop/household/kitchen-roll
Household,Toilet Roll,https://www.tesco.com/groceries/en-GB/shop/household/toilet-roll
Household,Facial Tissue & Hand Wipes,https://www.tesco.com/groceries/en-GB/shop/household/facial-tissue-and-hand-wipes
Household,Cleaning,https://www.tesco.com/groceries/en-GB/shop/household/cleaning
Household,Kitchen Cleaners,https://www.tesco.com/groceries/en-GB/shop/household/kitchen-cleaners
Household,Bathroom Cleaners & Toilet Care,https://www.tesco.com/groceries/en-GB/shop/household/bathroom-cleaners-and-toilet-care
Household,Dishwashing,https://www.tesco.com/groceries/en-GB/shop/household/dishwashing
Household,Air Fresheners & Home Fragrance,https://www.tesco.com/groceries/en-GB/shop/household/air-fresheners-and-home-fragrance
Household,Household Essentials,https://www.tesco.com/groceries/en-GB/shop/household/household-essentials
Household,Food Storage,https://www.tesco.com/groceries/en-GB/shop/household/food-storage
Household,Lightbulbs,https://www.tesco.com/groceries/en-GB/shop/household/lightbulbs
Household,"Brushes, Mops & Buckets",https://www.tesco.com/groceries/en-GB/shop/household/brushes-mops-and-buckets
Household,Passover,https://www.tesco.com/groceries/en-GB/shop/household/passover
Home & Ents,F&F Home,https://www.tesco.com/groceries/en-GB/shop/home-and-ents/fandf-home
Home & Ents,Fresh Flowers,https://www.tesco.com/groceries/en-GB/shop/home-and-ents/fresh-flowers
Home & Ents,Garden & Outdoor,https://www.tesco.com/groceries/en-GB/shop/home-and-ents/garden-and-outdoor
Home & Ents,Toys & Games,https://www.tesco.com/groceries/en-GB/shop/home-and-ents/toys-and-games
Home & Ents,Sports & Leisure,https://www.tesco.com/groceries/en-GB/shop/home-and-ents/sports-and-leisure
Home & Ents,Greeting Cards,https://www.tesco.com/groceries/en-GB/shop/home-and-ents/greeting-cards
Home & Ents,Electrical,https://www.tesco.com/groceries/en-GB/shop/home-and-ents/electrical
Home & Ents,Paperchase,https://www.tesco.com/groceries/en-GB/shop/home-and-ents/paperchase
Home & Ents,"Stationery, Arts & Crafts",https://www.tesco.com/groceries/en-GB/shop/home-and-ents/stationery-arts-and-crafts
Home & Ents,Books,https://www.tesco.com/groceries/en-GB/shop/home-and-ents/books
Home & Ents,Batteries,https://www.tesco.com/groceries/en-GB/shop/home-and-ents/batteries
Home & Ents,Cooking & Dining,https://www.tesco.com/groceries/en-GB/shop/home-and-ents/cooking-and-dining
Home & Ents,Bedding,https://www.tesco.com/groceries/en-GB/shop/home-and-ents/bedding
Home & Ents,Bathroom Accessories & Towels,https://www.tesco.com/groceries/en-GB/shop/home-and-ents/bathroom-accessories-and-towels
Home & Ents,Home Accessories,https://www.tesco.com/groceries/en-GB/shop/home-and-ents/home-accessories
Home & Ents,Furniture,https://www.tesco.com/groceries/en-GB/shop/home-and-ents/furniture
Home & Ents,DIY & Car Care,https://www.tesco.com/groceries/en-GB/shop/home-and-ents/diy-and-car-care
Home & Ents,Party & Giftwrap,https://www.tesco.com/groceries/en-GB/shop/home-and-ents/party-and-giftwrap
Home & Ents,Tobacco & Alternatives,https://www.tesco.com/groceries/en-GB/shop/home-and-ents/tobacco-and-alternatives
